+--------------------------------------------------------------------------------------------+
| Starting Game between BetterLisaSimpson & ConcessionBot 
| 
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays P | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays P | EasyGame plays S | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays S | BetterLisaSimpson wins
| BetterLisaSimpson plays V | EasyGame plays L | EasyGame wins
| BetterLisaSimpson plays V | EasyGame plays R | BetterLisaSimpson wins
